ResponseID,BranchNum,Date_of_Survey,Time_of_Survey,SurveyQuestion1,SurveyQuestion2
1450,31,1/25/2020 0:00,8:53:00 AM,5,5
1451,25,1/25/2020 0:00,9:01:00 AM,5,5
1452,25,1/25/2020 0:00,10:30:00 AM,5,5
1453,9,1/25/2020 0:00,12:36:00 PM,5,5
1454,15,1/25/2020 0:00,6:38:00 PM,4,4
1455,35,1/24/2020 0:00,7:09:00 AM,5,5
1456,19,1/24/2020 0:00,8:36:00 AM,5,4
1457,9,1/24/2020 0:00,9:39:00 AM,5,5
1458,31,1/24/2020 0:00,11:07:00 AM,5,5
1459,9,1/24/2020 0:00,1:17:00 PM,5,5
1460,9,1/23/2020 0:00,6:42:00 PM,5,5
1461,32,1/23/2020 0:00,7:55:00 PM,2,4
1462,26,1/23/2020 0:00,6:05:00 AM,5,5
1463,12,1/23/2020 0:00,7:44:00 AM,1,2
1464,3,1/23/2020 0:00,8:12:00 AM,4,4
1465,33,1/23/2020 0:00,8:40:00 AM,3,3
1466,42,1/23/2020 0:00,9:32:00 AM,5,4
